فك	0641_0643.txt.gz	4783	15393
فل	0641_0644.txt.gz	228639	582871
فم	0641_0645.txt.gz	2655	6806
فن	0641_0646.txt.gz	19655	47521
فه	0641_0647.txt.gz	2448	5926
فو	0641_0648.txt.gz	4585	11949
في	0641_064a.txt.gz	51244	125315
فک	0641_06a9.txt.gz	1	56
ق	0642.txt.gz	1	40
قؤ	0642_0624.txt.gz	6	67
قئ	0642_0626.txt.gz	66	210
قا	0642_0627.txt.gz	5316	12976
قب	0642_0628.txt.gz	1484	3618
قت	0642_062a.txt.gz	674	1613
قث	0642_062b.txt.gz	203	524
قح	0642_062d.txt.gz	653	1618
قد	0642_062f.txt.gz	970	2317
قذ	0642_0630.txt.gz	773	1844
قر	0642_0631.txt.gz	2826	6920
قز	0642_0632.txt.gz	286	714
قس	0642_0633.txt.gz	731	1798
قش	0642_0634.txt.gz	997	2394
قص	0642_0635.txt.gz	1336	3270
قض	0642_0636.txt.gz	638	1543
قط	0642_0637.txt.gz	1287	3058
قظ	0642_0638.txt.gz	8	72
قع	0642_0639.txt.gz	635	1566
قف	0642_0641.txt.gz	794	1908
قق	0642_0642.txt.gz	8	72
قل	0642_0644.txt.gz	1515	3637
قم	0642_0645.txt.gz	974	2393
قن	0642_0646.txt.gz	1257	3057
قه	0642_0647.txt.gz	184	503
قو	0642_0648.txt.gz	1953	4846
قي	0642_064a.txt.gz	1228	3032
ك	0643.txt.gz	1	40
كؤ	0643_0624.txt.gz	20	123
كئ	0643_0626.txt.gz	35	151
كا	0643_0627.txt.gz	4481	12007
كب	0643_0628.txt.gz	1621	4109
كت	0643_062a.txt.gz	919	2366
كث	0643_062b.txt.gz	637	1568
كج	0643_062c.txt.gz	89	389
كح	0643_062d.txt.gz	264	769
كخ	0643_062e.txt.gz	30	193
كد	0643_062f.txt.gz	787	2066
كذ	0643_0630.txt.gz	184	504
كر	0643_0631.txt.gz	2188	5553
كز	0643_0632.txt.gz	208	639
كس	0643_0633.txt.gz	1307	3343
كش	0643_0634.txt.gz	796	2127
كص	0643_0635.txt.gz	31	189
كض	0643_0636.txt.gz	9	104
كط	0643_0637.txt.gz	26	171
كظ	0643_0638.txt.gz	307	768
كع	0643_0639.txt.gz	260	787
كغ	0643_063a.txt.gz	42	233
كف	0643_0641.txt.gz	1144	2994
كق	0643_0642.txt.gz	37	228
كك	0643_0643.txt.gz	90	430
كل	0643_0644.txt.gz	1407	3594
كم	0643_0645.txt.gz	1487	4018
كن	0643_0646.txt.gz	997	2682
كه	0643_0647.txt.gz	403	1186
كو	0643_0648.txt.gz	1689	4546
كي	0643_064a.txt.gz	767	2051
كک	0643_06a9.txt.gz	1	56
ل	0644.txt.gz	1	40
لؤ	0644_0624.txt.gz	58	210
لئ	0644_0626.txt.gz	29	136
لا	0644_0627.txt.gz	42571	105199
لب	0644_0628.txt.gz	3348	8301
لت	0644_062a.txt.gz	74872	187005
لث	0644_062b.txt.gz	727	1770
لج	0644_062c.txt.gz	2568	6289
لح	0644_062d.txt.gz	3622	8731
لخ	0644_062e.txt.gz	2342	5498
لد	0644_062f.txt.gz	2666	6352
لذ	0644_0630.txt.gz	1006	2409
لر	0644_0631.txt.gz	3025	7097
لز	0644_0632.txt.gz	1925	4639
لس	0644_0633.txt.gz	2874	6930
لش	0644_0634.txt.gz	2436	5792
لص	0644_0635.txt.gz	1847	4384
لض	0644_0636.txt.gz	949	2196
لط	0644_0637.txt.gz	1976	4744
لظ	0644_0638.txt.gz	358	866
لع	0644_0639.txt.gz	3479	8498
لغ	0644_063a.txt.gz	1792	4255
لف	0644_0641.txt.gz	2967	7112
لق	0644_0642.txt.gz	3478	8327
لك	0644_0643.txt.gz	2259	5468
لل	0644_0644.txt.gz	2220	5752
لم	0644_0645.txt.gz	3113	8025
لن	0644_0646.txt.gz	18737	45014
له	0644_0647.txt.gz	2598	6234
لو	0644_0648.txt.gz	4566	11684
لي	0644_064a.txt.gz	51036	124707
لک	0644_06a9.txt.gz	1	56
م	0645.txt.gz	1	40
مؤ	0645_0624.txt.gz	974	2665
مئ	0645_0626.txt.gz	107	336
ما	0645_0627.txt.gz	5112	12954
مب	0645_0628.txt.gz	2549	6780
مت	0645_062a.txt.gz	19534	53336
مث	0645_062b.txt.gz	815	2107
مج	0645_062c.txt.gz	2927	7694
مح	0645_062d.txt.gz	4770	12444
مخ	0645_062e.txt.gz	2941	7741
مد	0645_062f.txt.gz	2474	6370
مذ	0645_0630.txt.gz	838	2127
مر	0645_0631.txt.gz	6253	16436
مز	0645_0632.txt.gz	1635	4203
مس	0645_0633.txt.gz	7942	21645
مش	0645_0634.txt.gz	3092	7988
مص	0645_0635.txt.gz	2413	6250
مض	0645_0636.txt.gz	1551	3935
مط	0645_0637.txt.gz	1868	4760
مظ	0645_0638.txt.gz	275	727
مع	0645_0639.txt.gz	4678	12320
مغ	0645_063a.txt.gz	2310	5931
مف	0645_0641.txt.gz	2363	6270
مق	0645_0642.txt.gz	3408	8923
مك	0645_0643.txt.gz	2646	6943
مل	0645_0644.txt.gz	3764	9766
مم	0645_0645.txt.gz	1808	4858
من	0645_0646.txt.gz	7553	19964
مه	0645_0647.txt.gz	2172	5541
مو	0645_0648.txt.gz	3706	9968
مي	0645_064a.txt.gz	1492	3904
ن	0646.txt.gz	1	40
نؤ	0646_0624.txt.gz	1367	3442
نئ	0646_0626.txt.gz	147	387
نا	0646_0627.txt.gz	9977	24986
نب	0646_0628.txt.gz	4950	12591
نت	0646_062a.txt.gz	12598	32187
نث	0646_062b.txt.gz	988	2433
نج	0646_062c.txt.gz	4996	12811
نح	0646_062d.txt.gz	5745	14823
نخ	0646_062e.txt.gz	4431	11176
ند	0646_062f.txt.gz	4427	11143
نذ	0646_0630.txt.gz	1387	3448
نر	0646_0631.txt.gz	5474	14180
نز	0646_0632.txt.gz	3629	9123
نس	0646_0633.txt.gz	11376	29446
نش	0646_0634.txt.gz	5137	13128
نص	0646_0635.txt.gz	3603	9184
نض	0646_0636.txt.gz	2673	6566
نط	0646_0637.txt.gz	2666	6738
نظ	0646_0638.txt.gz	797	1949
نع	0646_0639.txt.gz	5875	15021
نغ	0646_063a.txt.gz	2739	6901
نف	0646_0641.txt.gz	5228	13428
نق	0646_0642.txt.gz	6518	16800
نك	0646_0643.txt.gz	4747	12055
نل	0646_0644.txt.gz	3613	9145
نم	0646_0645.txt.gz	4597	11811
نن	0646_0646.txt.gz	7843	20848
نه	0646_0647.txt.gz	3848	9778
نو	0646_0648.txt.gz	5870	15557
ني	0646_064a.txt.gz	1256	3332
ه	0647.txt.gz	1	40
هؤ	0647_0624.txt.gz	9	90
هئ	0647_0626.txt.gz	8	72
ها	0647_0627.txt.gz	3207	8034
هب	0647_0628.txt.gz	949	2272
هت	0647_062a.txt.gz	583	1409
هث	0647_062b.txt.gz	66	209
هج	0647_062c.txt.gz	1338	3200
هد	0647_062f.txt.gz	1497	3610
هذ	0647_0630.txt.gz	223	593
هر	0647_0631.txt.gz	1639	4032
هز	0647_0632.txt.gz	1405	3422
هس	0647_0633.txt.gz	267	670
هش	0647_0634.txt.gz	440	1063
هص	0647_0635.txt.gz	165	443
هض	0647_0636.txt.gz	357	884
هط	0647_0637.txt.gz	132	369
هف	0647_0641.txt.gz	226	596
هك	0647_0643.txt.gz	18	119
هل	0647_0644.txt.gz	531	1337
هم	0647_0645.txt.gz	1258	3119
هن	0647_0646.txt.gz	777	1914
هه	0647_0647.txt.gz	3	59
هو	0647_0648.txt.gz	1381	3421
هي	0647_064a.txt.gz	1452	3746
و	0648.txt.gz	1	40
وؤ	0648_0624.txt.gz	9	84
وئ	0648_0626.txt.gz	96	280
وا	0648_0627.txt.gz	65380	158286
وب	0648_0628.txt.gz	5171	16490
وت	0648_062a.txt.gz	75821	189616
وث	0648_062b.txt.gz	1222	2984
وج	0648_062c.txt.gz	3432	8502
وح	0648_062d.txt.gz	3862	9501
وخ	0648_062e.txt.gz	2884	6906
ود	0648_062f.txt.gz	3602	8803
وذ	0648_0630.txt.gz	1206	2946
ور	0648_0631.txt.gz	5142	12639
وز	0648_0632.txt.gz	2172	5352
وس	0648_0633.txt.gz	80668	207596
وش	0648_0634.txt.gz	3667	8978
وص	0648_0635.txt.gz	2648	6437
وض	0648_0636.txt.gz	1679	4057
وط	0648_0637.txt.gz	1989	4790
وظ	0648_0638.txt.gz	486	1198
وع	0648_0639.txt.gz	4429	11059
وغ	0648_063a.txt.gz	1760	4221
وف	0648_0641.txt.gz	3045	7494
وق	0648_0642.txt.gz	3881	9396
